LakeID,FIN,County,WATER,Alternate_Name,Lake_Proj_Code_Ref::LAKE_PROJ_CODE,Beaches,PWS,Waterbody_Classification,WaterClassPartNo,Dam Class,M_BAS_NAME,BASIN_NAME,M_BASIN_ID,BasinSub,ACRES,SHORELINE_,AREA,LEN,P#,PWLID,_8_Digit_HUC,DATE_ADDED,Waterbody_Type,Chla_PWS
1702CLA1061X,SI-7A-P1061X,Richmond,Clay Pit Pond,,,No,No,,,,Atlantic Ocean-Long Island Sound,Long Island Sound,17,1702,,,,,1061,,,,Lake,
1311THO0274,H-PN274,Albany,Thompsons Lake,,1004,Yes,No,AT,863-675,,Lower Hudson River Basin,Normanskill Creek,13,1311,130.90 ,2.50 ,529837 ,3997.21 ,274,1311-0007,,,Lake,6
1311GLA0266,H-221-4-8-PN266,Albany,Glasshouse Pond,,,No,No,CT,863-660,,Lower Hudson River Basin,Normanskill Creek,13,1311,16.10 ,1.40 ,65343 ,2331.00 ,266,1311-0003,,,Lake,10
1311WAT0270,H-221-4-PN270,Albany,Watervliet Reservoir,,,No,No,A,863-639,,Lower Hudson River Basin,Normanskill Creek,13,1311,383.70 ,11.60 ,1552742 ,18688.40 ,270,1311-0001,,,Lake,6
1309CRY0957,H-193-56-P957,Albany,Crystal Lake,,,No,No,B,863-251,,Lower Hudson River Basin,Catskill Creek,13,1309,49.20 ,1.10 ,199046 ,1827.49 ,957,1309-0034,,,Lake,10
1309TRI0956,H-193-56-3-P956,Albany,Triangle Lake,,,No,No,B,863-250,,Lower Hudson River Basin,Catskill Creek,13,1309,27.00 ,0.90 ,109242 ,1459.77 ,956,1309-0033,,,Lake,10
1309LIN0955,H-193-41-P954-2-P955,Albany,Lincoln Pond,,,No,No,C,863-230,,Lower Hudson River Basin,Catskill Creek,13,1309,9.00 ,0.60 ,36482 ,885.26 ,955,1309-0032,,,Lake,10
1309MYO0954,H-193-41-P954,Albany,Myosotis Lake,,54,Yes,No,A,863-228,C,Lower Hudson River Basin,Catskill Creek,13,1309,94.70 ,1.80 ,383104 ,2855.96 ,954,1309-0031,,,Lake,6
1309BAS0950A,H-193-29-P950A,Albany,Basic Creek Reservoir,,,No,Yes,A,863-193,C,Lower Hudson River Basin,Catskill Creek,13,1309,236.80 ,4.90 ,958411 ,7813.51 ,950,1309-0001,,,Lake,6
1301LIT0355,H-231-PN355,Albany,Littles Lake,,,No,No,B,863-728,,Lower Hudson River Basin,Lower Hudson Main Stem,13,1301,10.70 ,1.10 ,43423 ,1731.10 ,355,1301-0248,,,Lake,10
1301REN0336,H-226-PN336,Albany,Rensselaer Lake,,,No,No,C,863-718,B,Lower Hudson River Basin,Lower Hudson Main Stem,13,1301,31.70 ,2.90 ,128219 ,4619.29 ,336,1301-0247,,,Lake,10
1301LAW0207,H-214-10-4-PN207,Albany,Lawson Lake,Lawsons Lake,4071,No,No,B,863-559,?Nancy Lawson Dam,Lower Hudson River Basin,Lower Hudson Main Stem,13,1301,28.00 ,0.90 ,113419 ,1445.76 ,207,1301-0235,,,Lake,10
1301VLY0262A,H-221-4-7-PN262A,Albany,Vly Creek Reservoir,,,No,No,A,863-654,C,Lower Hudson River Basin,Lower Hudson Main Stem,13,1301,164.50 ,4.80 ,665600 ,7682.69 ,262,1301-0234,,,Lake,6
1301HEL0207A,H-214-10-PN207A,Albany,Helderberg Lake,,,No,No,B,863-553,,Lower Hudson River Basin,Lower Hudson Main Stem,13,1301,29.20 ,1.10 ,118240 ,1720.31 ,207,1301-0029,,,Lake,10
1202WAR0609,H-240-82-67-33-1-P609,Albany,Warners Lake,,4064,Yes,No,BT,879-79,B,Mohawk River Basin,Schoharie Creek *,12,1202,116.59 ,2.13 ,471844 ,3432.40 ,609,1202-0044,,,Lake,10
