LOCATION_ID,junk,PURPOSE
1401CHA0173A_DH,Lake Champion,
1401CHE0106_DH,Chestnut Ridge Pond,
1401CRY0260_DH,Crystal Lake,Reference
1401MON0096A_DH,Mongaup Falls Reservoir,
1401MOU0114_DH,Mountain Lake,
1401TOR0100A_DH,Toronto Reservoir,
1402EAS0055_DH,East Pond,Reference
1402HAW0005A_DH,Hawthorne Lake,
1402LOU0040_DH,Lake Louise Marie,
1402MAR0002_DH,Martin Lake,
1402RE10003_DH,Reservoir Number One,
1402WOL0037_DH,Wolf Lake,"Long Term Trend, Reference "
1403BIG0345_DH,Big Pond,Reference
1403WAN0338_DH,Waneta Lake,
0402GOD0017_DH,Godfrey Pond,
0403ROC0155_DH,Rockville Lake,
0902BAR0262_DH,Barnum Pond,
1003CLE0199_DH,Lake Clear,
1003COL0106_DH,Lake Colby,
1003FRA5095_DH,Franklin Falls Pond,
1003KUS0055_DH,Lake Kushaqua,
1003LSA0104_DH,Lower Saranac Lake,
1003MOO0083_DH,Moose Pond,
1003ROL0168_DH,Rollins Pond,
1004LCA0270_DH,Lower Cascade Lake,
1004UCA0271_DH,Upper Cascade Lake,
1005BAR0338_DH,Bartlett Pond,
1701GRE0885_DH,Great Patchogue Lake,
1701LAU0496_DH,Laurel Lake,
1701LOW0855_DH,Lower Lake,
1701MAR0495_DH,Maratooka Lake,
1701PEC0555_DH,Peconic Lake,
1702BRY1106_DH,Bryam Lake Reservoir,
1702OAK0107_DH,Oakland Lake,
1702SHE1087_DH,Sheldrake Lake,
1306STU0453A_DH,Sturgeon Pool,TMDL
0703ONE0026_3MILE,Oneida Three Mile Bay,TMDL
0703ONE0026_B109,Oneida Buoy 109,TMDL
0703ONE0026_SHACK,Oneida Shackelton Point,TMDL
1101MOR0101_DH,Moreau Lake,USGS
1501ROC0985_DH,Rockland Lake,USGS
0902ARQ0103A_DH,Arquett Pond,
0902LSA0257A_DH,Lower Saint Regis Lake,
0902MOU0198_DH,Mountain Pond,
0902SLU0245_DH,Slush Pond,
0902SPI0264_DH,Spitfire Lake,
0902TWI0002B_DH,Twin Ponds,
0903BLU0307_DH,Blue Mountain Lake,
0903EAG0306_DH,Eagle Lake,
0903FOL0186_DH,Follensby Pond,Reference
0903HIT0144_DH,Hitchins Pond,
0903LEO0062_DH,Leonard Pond,
0903LSI0182_DH,Little Simon Pond,
0903LTR0145_DH,Little Trout Pond,
0903ROC0050_DH,Rock Pond,
0903SOU0017A_DH,South Colton Reservoir,
0903UTO0304_DH,Utowana Lake,
0903WOO0091_DH,Woodburry Pond,
0904BAL0364_DH,Balsam Pond,
0905FRE0228_DH,French Pond West,
0905LOW0061_DH,Lower Lake,
0905MUD0227_DH,Mud Pond,
0905ROC0231_DH,Rock Pond,
0905SUC0274_DH,Sucker Lake,
0906HIC0004_DH,Hickory Lake,TMDL
0906MUD0003_DH,Mud Lake,TMDL
0906MUD0005_DH,Mud Lake,
0906MUD0023_DH,Mud Lake,
0906MUS0008_DH,Muskellunge Lake,
0906RED0010_DH,Red Lake,Reference
0601ESI0262_DH,East Sidney Lake,
0601GIL0287_DH,Gilbert Lake,
0601GOE0378_DH,Goey Pond,
0601YOU0408_DH,Youngs Lake,
0602LLY5637_DH,Lower Little York Lake,
0602ROU0082_DH,Round Pond,
1301WAS0302_SITEA,site A1,HABs Mitigation
1301WAS0302_SITEB,site B,HABs Mitigation
1301WAS0302_SITEC,site C,HABs Mitigation
1301WAS0302_SITED,site D,HABs Mitigation
0402HON0057_C,,"Long Term Trend, Reference"
0403SIL0115_C,,Long Term Trend
0404LOO0079_C,,Long Term Trend
0402CON0067_C,,Long Term Trend
0906BON0024_C,,Long Term Trend
0904SIL0351_C,,Long Term Trend
0902EAG0083_C,,Long Term Trend
0906BLA0001_C,,Long Term Trend
0906BUT0054_C,,Long Term Trend
0906MIL0055_C,,Long Term Trend
1402PLE0045_C,,Long Term Trend
1404OQU0383_C,,Long Term Trend
1401SOM0268_C,,Long Term Trend
1402YAN0021_C,,Long Term Trend
1004PLA0254_C,,Routine
1102BAB1109_C,,Routine
1310QUE0057_C,,Routine
0801SEC0782B_C,,Routine
1104SCH0374_C,,Routine
0906BON0024_C,,Routine
1302WAC0117_C,,Routine
1005GLE0441_C,,Routine
1404OQU0383_C,,Routine
0201CUB0115_C,,Routine
0602MOR0152_C,,Routine
0602MEL0039_C,,Routine
1401ANA0251_C,,Routine
0202CHA0122_C,,Routine
0202FIN0153_C,,Routine
1402WOL0037_C,,Routine
1501LUC0982B_C,,Routine
1301ORA0340_C,,Routine
1402GUY0014_C,,Routine
1004AUG0213_C,,Routine
0906BUT0054_C,,Routine
0705DUC0222_C,,Routine
0302SOD0096_C,,Routine
1311DUA0276A_C,,Routine
1201GAL0563_C,,Routine
1701LFR0662_C,,Routine
1701CAN0889_C,,Routine
1004PLA0254_DH,,Routine
1102BAB1109_DH,,Routine
1310QUE0057_DH,,Routine
0801SEC0782B_DH,,Routine
1104SCH0374_DH,,Routine
0906BON0024_DH,,Routine
1302WAC0117_DH,,Routine
1005GLE0441_DH,,Routine
1404OQU0383_DH,,Routine
0201CUB0115_DH,,Routine
0602MOR0152_DH,,Routine
0602MEL0039_DH,,Routine
1401ANA0251_DH,,Routine
0202CHA0122_DH,,Routine
0202FIN0153_DH,,Routine
1402WOL0037_DH,,Routine
1501LUC0982B_DH,,Routine
1301ORA0340_DH,,Routine
1402GUY0014_DH,,Routine
1004AUG0213_DH,,Routine
0906BUT0054_DH,,Routine
0705DUC0222_DH,,Routine
0302SOD0096_DH,,Routine
1311DUA0276A_DH,,Routine
1201GAL0563_DH,,Routine
1701LFR0662_DH,,Routine
1701CAN0889_DH,,Routine
