LAKE_ID_1,FIN.x,WATER.x,basin,P.1,Alternate_Name,Waterbody_Type,Calculate P,LenP,Pwith basin letter,Recombine formula,change,Is recombine good?
0102UWB5058,ONT-117-19-28-6-A-P5058,Unnamed Water,0102UWB,5058,NA,LAKE,5058,4,ON5058,0102UWBON5058,0102UWBONTA5058,Added additional differentiation
0102UWB5058,ONT-158-12-6-2-2-P5058,Unnamed Water,0102UWB,5058,NA,LAKE,5058,4,ON5058,0102UWBON5058,0102UWBONT25058,Added additional differentiation
0902UWB5082,SLC-32-6-10-2B-P5082,Unnamed Water,0902UWB,5082,NA,LAKE,5082,4,SL5082,0902UWBSL5082,0902UWBSLCB5082,Added additional differentiation
0902UWB5082,SLC-29-21-7-2-P5082,Unnamed Water,0902UWB,5082,NA,LAKE,5082,4,SL5082,0902UWBSL5082,0902UWBSLC5082,Added additional differentiation
0703UWB5167,ONT-P5167,Unnamed Water,0703UWB,5167,NA,LAKE,5167,4,ON5167,0703UWBON5167,0703UWBONT5167,Added additional differentiation
0703UWB5167,ONT-66-11-P26-16-P5167,Unnamed Water,0703UWB,5167,NA,LAKE,5167,4,ON5167,0703UWBON5167,0703UWBONTP5167,Added additional differentiation
1301UWB0145A,H-43-1-P145A,Unnamed Water,1301UWB,145A,NA,LAKE,145A,4,,1301UWB145A,1301UWB145A,Keep
1301UWB0155A,H-44-1B-P155A,Unnamed Water,1301UWB,155A,NA,LAKE,155A,4,,1301UWB155A,1301UWB155A,Keep
1301UWB0157B,H-46-3-P157B,Unnamed Water,1301UWB,157B,NA,LAKE,157B,4,,1301UWB157B,1301UWB157B,Keep
1301UWB0179A,H-55-12-P179A,Unnamed Water,1301UWB,179A,NA,LAKE,179A,4,,1301UWB179A,1301UWB179A,Keep
1301UWB0182A,H-55-13-P182A,Unnamed Water,1301UWB,182A,NA,LAKE,182A,4,,1301UWB182A,1301UWB182A,Keep
1301UWB0185A,H-61-6-P185A,Unnamed Water,1301UWB,185A,NA,LAKE,185A,4,,1301UWB185A,1301UWB185A,Keep
1301UWB0185C,H-61-6-1-P185C,Unnamed Water,1301UWB,185C,NA,LAKE,185C,4,,1301UWB185C,1301UWB185C,Keep
1301UWB0185D,H-61-6-1-P185D,Unnamed Water,1301UWB,185D,NA,LAKE,185D,4,,1301UWB185D,1301UWB185D,Keep
1301UWB0205B,H-75-P205B,Unnamed Water,1301UWB,205B,NA,LAKE,205B,4,,1301UWB205B,1301UWB205B,Keep
1301UWB0206C,H-77-P206C,Unnamed Water,1301UWB,206C,NA,LAKE,206C,4,,1301UWB206C,1301UWB206C,Keep
1301UWB0410A,H-103-1-P410A,Unnamed Water,1301UWB,410A,NA,LAKE,410A,4,,1301UWB410A,1301UWB410A,Keep
1301UWB0414A,H-P414A,Unnamed Water,1301UWB,N414A,NA,LAKE,414A,4,,1301UWB414A,1301UWB414A,Keep
1301UWB0442A,H-142-P442A,Unnamed Water,1301UWB,N442A,NA,LAKE,442A,4,,1301UWB442A,1301UWB442A,Keep
1301UWB0442B,H-136-6-3-3-P442B,Unnamed Water,1301UWB,442B,NA,LAKE,442B,4,,1301UWB442B,1301UWB442B,Keep
1301UWB0445B,H-P445B,Unnamed Water,1301UWB,445B,NA,LAKE,445B,4,,1301UWB445B,1301UWB445B,Keep
1301UWB0145,H-PN145,Unnamed Water,1301UWB,145,NA,LAKE,N145,4,,1301UWBN145,1301UWBN145,Keep
1301UWB0147,H-208-3-PN147,Unnamed Water,1301UWB,147,NA,LAKE,N147,4,,1301UWBN147,1301UWBN147,Keep
1301UWB0148,H-PN148,Unnamed Water,1301UWB,148,NA,LAKE,N148,4,,1301UWBN148,1301UWBN148,Keep
1301UWB0168,H-212-1-1B-PN168,Unnamed Water,1301UWB,168,NA,LAKE,N168,4,,1301UWBN168,1301UWBN168,Keep
1301UWB0170,H-PN170,Unnamed Water,1301UWB,170,NA,LAKE,N170,4,,1301UWBN170,1301UWBN170,Keep
1301UWB0173,H-PN173,Unnamed Water,1301UWB,173,NA,LAKE,N173,4,,1301UWBN173,1301UWBN173,Keep
1301UWB0221,H-PN221,Unnamed Water,1301UWB,221,NA,LAKE,N221,4,,1301UWBN221,1301UWBN221,Keep
1301UWB0412,H-PN412,Unnamed Water,1301UWB,412,NA,LAKE,N412,4,,1301UWBN412,1301UWBN412,Keep
1301UWB0414,H-PN414,Unnamed Water,1301UWB,N414,NA,LAKE,N414,4,,1301UWBN414,1301UWBN414,Keep
1301UWB0422,H-PN422,Unnamed Water,1301UWB,422,NA,LAKE,N422,4,,1301UWBN422,1301UWBN422,Keep
1301UWB0423,H-PN423,Unnamed Water,1301UWB,423,NA,LAKE,N423,4,,1301UWBN423,1301UWBN423,Keep
0603UWB5003,PA-P5003,Unnamed Water,0603UWB,5003,NA,LAKE,5003,4,PA5003,0603UWBPA5003,0603UWBPA5003,Keep
0603UWB5003,SR-1-A-P5003,Unnamed Water,0603UWB,5003,NA,LAKE,5003,4,SR5003,0603UWBSR5003,0603UWBSR5003,Keep
0603UWB5004,SR-P5004,Unnamed Water,0603UWB,5004,NA,LAKE,5004,4,SR5004,0603UWBSR5004,0603UWBSR5004,Keep
0603UWB5004,PA-1-39-5-A-P5004,Unnamed Water,0603UWB,5004,NA,LAKE,5004,4,PA5004,0603UWBPA5004,0603UWBPA5004,Keep
1702UWB5004,LIS-P5004,Unnamed Water,1702UWB,5004,NA,LAKE,5004,4,LI5004,1702UWBLI5004,1702UWBLI5004,Keep
1702UWB5004,ER-P5004,Unnamed Water,1702UWB,5004,NA,LAKE,5004,4,ER5004,1702UWBER5004,1702UWBER5004,Keep
0603UWB5030,PA-1-41-4-4-P5030,Unnamed Water,0603UWB,5030,NA,LAKE,5030,4,PA5030,0603UWBPA5030,0603UWBPA5030,Keep
0603UWB5030,SR-P5030,Unnamed Water,0603UWB,5030,NA,LAKE,5030,4,SR5030,0603UWBSR5030,0603UWBSR5030,Keep
0603UWB5031,PA-1-52-16A-P5031,Unnamed Water,0603UWB,5031,NA,LAKE,5031,4,PA5031,0603UWBPA5031,0603UWBPA5031,Keep
0603UWB5031,SR-16-1-1-P5031,Unnamed Water,0603UWB,5031,NA,LAKE,5031,4,SR5031,0603UWBSR5031,0603UWBSR5031,Keep
0603UWB5032,PA-1-52-17-P5032,Unnamed Water,0603UWB,5032,NA,LAKE,5032,4,PA5032,0603UWBPA5032,0603UWBPA5032,Keep
0603UWB5032,SR-P5032,Unnamed Water,0603UWB,5032,NA,LAKE,5032,4,SR5032,0603UWBSR5032,0603UWBSR5032,Keep
0603UWB5033,PA-1-P8-6-2-P5033,Unnamed Water,0603UWB,5033,NA,LAKE,5033,4,PA5033,0603UWBPA5033,0603UWBPA5033,Keep
0603UWB5033,SR-15-P5033,Unnamed Water,0603UWB,5033,NA,LAKE,5033,4,SR5033,0603UWBSR5033,0603UWBSR5033,Keep
0603UWB5034,SR-17-1A-P5034,Unnamed Water,0603UWB,5034,NA,LAKE,5034,4,SR5034,0603UWBSR5034,0603UWBSR5034,Keep
0603UWB5034,PA-1-61-4-P5034,Unnamed Water,0603UWB,5034,NA,LAKE,5034,4,PA5034,0603UWBPA5034,0603UWBPA5034,Keep
0603UWB5035,PA-P5035,Unnamed Water,0603UWB,5035,NA,LAKE,5035,4,PA5035,0603UWBPA5035,0603UWBPA5035,Keep
0603UWB5035,SR-P5035,Unnamed Water,0603UWB,5035,NA,LAKE,5035,4,SR5035,0603UWBSR5035,0603UWBSR5035,Keep
0603UWB5036,PA-P5036,Unnamed Water,0603UWB,5036,NA,LAKE,5036,4,PA5036,0603UWBPA5036,0603UWBPA5036,Keep
0603UWB5036,SR-11-4-P5036,Unnamed Water,0603UWB,5036,NA,LAKE,5036,4,SR5036,0603UWBSR5036,0603UWBSR5036,Keep
0603UWB5037,PA-1-P8-5-4-P5037,Unnamed Water,0603UWB,5037,NA,LAKE,5037,4,PA5037,0603UWBPA5037,0603UWBPA5037,Keep
0603UWB5037,SR-11-4-1-2-P5037,Unnamed Water,0603UWB,5037,NA,LAKE,5037,4,SR5037,0603UWBSR5037,0603UWBSR5037,Keep
0603UWB5039,PA-1-P8-5-P5039,Unnamed Water,0603UWB,5039,NA,LAKE,5039,4,PA5039,0603UWBPA5039,0603UWBPA5039,Keep
0603UWB5039,SR-14-6-P5039,Unnamed Water,0603UWB,5039,NA,LAKE,5039,4,SR5039,0603UWBSR5039,0603UWBSR5039,Keep
1701UWB5104,RB-P5104,Unnamed Water,1701UWB,5104,NA,LAKE,5104,4,RB5104,1701UWBRB5104,1701UWBRB5104,Keep
1701UWB5104,FB1-116-P5104,Unnamed Water,1701UWB,5104,NA,LAKE,5104,4,FB5104,1701UWBFB5104,1701UWBFB5104,Keep
1701UWB5105,RB-P5105,Unnamed Water,1701UWB,5105,NA,LAKE,5105,4,RB5105,1701UWBRB5105,1701UWBRB5105,Keep
1701UWB5105,FB1-116-P5105,Unnamed Water,1701UWB,5105,NA,LAKE,5105,4,FB5105,1701UWBFB5105,1701UWBFB5105,Keep
0902UWB5114,SLC-29-18-P5114,Unnamed Water,0902UWB,5114,NA,LAKE,5114,4,SL5114,0902UWBSL5114,0902UWBSL5114,Keep
0902UWB5114,C-P5114,Unnamed Water,0902UWB,5114,NA,LAKE,5114,4,C-5114,0902UWBC-5114,0902UWBC-5114,Keep
1701UWB5222,FB3-112-6A-P5222,Unnamed Water,1701UWB,5222,NA,LAKE,5222,4,FB5222,1701UWBFB5222,1701UWBFB5222,Keep
1701UWB5222,BB-P5222,Unnamed Water,1701UWB,5222,NA,LAKE,5222,4,BB5222,1701UWBBB5222,1701UWBBB5222,Keep
0403UWB5269,ONT-117-97-P5269,Unnamed Water,0403UWB,5269,NA,LAKE,5269,4,ON5269,0403UWBON5269,0403UWBON5269,Keep
0403UWB5269,PA-P5269,Unnamed Water,0403UWB,5269,NA,LAKE,5269,4,PA5269,0403UWBPA5269,0403UWBPA5269,Keep
0403UWB5270,ONT-117-95B-P5270,Unnamed Water,0403UWB,5270,NA,LAKE,5270,4,ON5270,0403UWBON5270,0403UWBON5270,Keep
0403UWB5270,PA-P5270,Unnamed Water,0403UWB,5270,NA,LAKE,5270,4,PA5270,0403UWBPA5270,0403UWBPA5270,Keep
0404UWB5318,PA-P5318,Unnamed Water,0404UWB,5318,NA,LAKE,5318,4,PA5318,0404UWBPA5318,0404UWBPA5318,Keep
1702UWB5330,CT-6-1-P5330,Unnamed Water,1702UWB,5330,NA,LAKE,5330,4,CT5330,1702UWBCT5330,1702UWBCT5330,Keep
1702UWB5330,LI-P5330,Unnamed Water,1702UWB,5330,NA,LAKE,5330,4,LI5330,1702UWBLI5330,1702UWBLI5330,Keep
1702UWB5331,CT-6-1-2-P5331,Unnamed Water,1702UWB,5331,NA,LAKE,5331,4,CT5331,1702UWBCT5331,1702UWBCT5331,Keep
1702UWB5332,CT-6-1-2-P5332,Unnamed Water,1702UWB,5332,NA,LAKE,5332,4,CT5332,1702UWBCT5332,1702UWBCT5332,Keep
1702UWB5332,SI-P5332,Unnamed Water,1702UWB,5332,NA,LAKE,5332,4,SI5332,1702UWBSI5332,1702UWBSI5332,Keep
1702UWB5333,SI-P5333,Unnamed Water,1702UWB,5333,NA,LAKE,5333,4,SI5333,1702UWBSI5333,1702UWBSI5333,Keep
1702UWB5333,CT-6-1-5-P5333,Unnamed Water,1702UWB,5333,NA,LAKE,5333,4,CT5333,1702UWBCT5333,1702UWBCT5333,Keep
1702UWB5334,CT-6-1-P5334,Unnamed Water,1702UWB,5334,NA,LAKE,5334,4,CT5334,1702UWBCT5334,1702UWBCT5334,Keep
1702UWB5334,SI-P5334,Unnamed Water,1702UWB,5334,NA,LAKE,5334,4,SI5334,1702UWBSI5334,1702UWBSI5334,Keep
1702UWB5335,CT-6-P5335,Unnamed Water,1702UWB,5335,NA,LAKE,5335,4,CT5335,1702UWBCT5335,1702UWBCT5335,Keep
1702UWB5335,SI-P5335,Unnamed Water,1702UWB,5335,NA,LAKE,5335,4,SI5335,1702UWBSI5335,1702UWBSI5335,Keep
1702UWB5339,LI-P5339,Unnamed Water,1702UWB,5339,NA,LAKE,5339,4,LI5339,1702UWBLI5339,1702UWBLI5339,Keep
1702UWB5339,CT-6-2-2-P5339,Unnamed Water,1702UWB,5339,NA,LAKE,5339,4,CT5339,1702UWBCT5339,1702UWBCT5339,Keep
1702UWB5343,LI-P5343,Unnamed Water,1702UWB,5343,NA,LAKE,5343,4,LI5343,1702UWBLI5343,1702UWBLI5343,Keep
1702UWB5343,CT-8-P5343,Unnamed Water,1702UWB,5343,NA,LAKE,5343,4,CT5343,1702UWBCT5343,1702UWBCT5343,Keep
1702UWB5365,OBH-MNC-44-P5365,Unnamed Water,1702UWB,5365,NA,LAKE,5365,4,OB5365,1702UWBOB5365,1702UWBOB5365,Keep
1702UWB5365,CT-9-P1110-2-P5365,Unnamed Water,1702UWB,5365,NA,LAKE,5365,4,CT5365,1702UWBCT5365,1702UWBCT5365,Keep
1702UWB5366,OBH-MNC-44-P5366,Unnamed Water,1702UWB,5366,NA,LAKE,5366,4,OB5366,1702UWBOB5366,1702UWBOB5366,Keep
1702UWB5366,CT-9-P1110-3-P5366,Unnamed Water,1702UWB,5366,NA,LAKE,5366,4,CT5366,1702UWBCT5366,1702UWBCT5366,Keep
1702UWB5368,HH-P5368,Unnamed Water,1702UWB,5368,NA,LAKE,5368,4,HH5368,1702UWBHH5368,1702UWBHH5368,Keep
1702UWB5368,CT-10-1-P5368,Unnamed Water,1702UWB,5368,NA,LAKE,5368,4,CT5368,1702UWBCT5368,1702UWBCT5368,Keep
1702UWB5369,HH-P5369,Unnamed Water,1702UWB,5369,NA,LAKE,5369,4,HH5369,1702UWBHH5369,1702UWBHH5369,Keep
1702UWB5369,CT-10-1-P5369,Unnamed Water,1702UWB,5369,NA,LAKE,5369,4,CT5369,1702UWBCT5369,1702UWBCT5369,Keep
0302UWB5368,ONT-108-P113-3-32-P5368,Unnamed Water,0302UWB,,,,5368,4,ON5368,0302UWBON5368,0302UWBON5368,Keep
1301UWB0174,H-212-3-1-1-PN174,Unnamed Water,1301UWB,,,,N174,4,H-N174,1301UWBN174,1301UWBN174,Keep
1301UWB0185F,H-61-6-1-P185F,Unnamed Water,1301UWB,,,,185F,4,H-185F,1301UWB185F,1301UWB185F,Keep
1301UWB0193B,H-P193B,Unnamed Water,1301UWB,,,,193B,4,H-193B,1301UWB193B,1301UWB193B,Keep
1301UWB0363,H-234-1-PN363,Unnamed Water,1301UWB,,,,N363,4,H-N363,1301UWBN363,1301UWBN363,Keep
1301UWB0363A,H-97-P363A,Unnamed Water,1301UWB,,,,363A,4,H-363A,1301UWB363A,1301UWB363A,Keep
1301UWB0416B,H-P416B,Unnamed Water,1301UWB,,,,416B,4,H-416B,1301UWB416B,1301UWB416B,Keep
1301UWB0435A,H-128-P435A,Unnamed Water,1301UWB,,,,435A,4,H-435A,1301UWB435A,1301UWB435A,Keep
1701UWB5102,FB1-P5102,Unnamed Water,1701UWB,,,,5102,4,FB5102,1701UWBFB5102,1701UWBFB5102,Keep
1701UWB5102,RB-P5102,Unnamed Water,1701UWB,,,,5102,4,RB5102,1701UWBRB5102,1701UWBRB5102,Keep
1701UWB5103,FB1-P5103,Unnamed Water,1701UWB,,,,5103,4,FB5103,1701UWBFB5103,1701UWBFB5103,Keep
1701UWB5103,RB-P5103,Unnamed Water,1701UWB,,,,5103,4,RB5103,1701UWBRB5103,1701UWBRB5103,Keep
1301UWB0145A,H-PN145A,Unnamed Water,1301UWB,145A,NA,LAKE,N145A,5,,1301UWBN145A,1301UWBN145A,Keep
1301UWB0155A,H-208-6-PN155-1A-PN155A,Unnamed Water,1301UWB,155A,NA,LAKE,N155A,5,,1301UWBN155A,1301UWBN155A,Keep
1301UWB0157B,H-209-1A-PN157B,Unnamed Water,1301UWB,157B,NA,LAKE,N157B,5,,1301UWBN157B,1301UWBN157B,Keep
1301UWB0179A,H-212-6-1-PN179A,Unnamed Water,1301UWB,179A,NA,LAKE,N179A,5,,1301UWBN179A,1301UWBN179A,Keep
1301UWB0182A,H-212-7-1A-1A-PN182A,Unnamed Water,1301UWB,182A,NA,LAKE,N182A,5,,1301UWBN182A,1301UWBN182A,Keep
1301UWB0185A,H-212-16-1A-PN185A,Unnamed Water,1301UWB,185A,NA,LAKE,N185A,5,,1301UWBN185A,1301UWBN185A,Keep
1301UWB0185C,H-212-15-1-PN185C,Unnamed Water,1301UWB,185C,NA,LAKE,N185C,5,,1301UWBN185C,1301UWBN185C,Keep
1301UWB0185D,H-PN185D,Unnamed Water,1301UWB,185D,NA,LAKE,N185D,5,,1301UWBN185D,1301UWBN185D,Keep
1301UWB0205B,H-PN205B,Unnamed Water,1301UWB,205B,NA,LAKE,N205B,5,,1301UWBN205B,1301UWBN205B,Keep
1301UWB0206C,H-214-10-3-2-1-PN206C,Unnamed Water,1301UWB,206C,NA,LAKE,N206C,5,,1301UWBN206C,1301UWBN206C,Keep
1301UWB0345B,H-PN345B,Unnamed Water,1301UWB,N345B,NA,LAKE,N345B,5,,1301UWBN345B,1301UWBN345B,Keep
1301UWB0410A,H-PN410A,Unnamed Water,1301UWB,410A,NA,LAKE,N410A,5,,1301UWBN410A,1301UWBN410A,Keep
1301UWB0414A,H-236-7-7A-PN414A,Unnamed Water,1301UWB,N414A,NA,LAKE,N414A,5,,1301UWBN414A,1301UWBN414A,Keep
1301UWB0442A,H-236-27-PN442A,Unnamed Water,1301UWB,N442A,NA,LAKE,N442A,5,,1301UWBN442A,1301UWBN442A,Keep
1301UWB0442B,H-236-27-1-PN442B,Unnamed Water,1301UWB,442B,NA,LAKE,N442B,5,,1301UWBN442B,1301UWBN442B,Keep
1301UWB0445B,H-236-PN445B,Unnamed Water,1301UWB,445B,NA,LAKE,N445B,5,,1301UWBN445B,1301UWBN445B,Keep
1702UWB1103A,FI-P1103A,Unnamed Water,1702UWB,1103A,NA,LAKE,1103A,5,FI1103A,1702UWBFI1103A,1702UWBFI1103A,Keep
1702UWB1103A,LIS-13-11A-P1103A,Unnamed Water,1702UWB,1103A,NA,LAKE,1103A,5,LI1103A,1702UWBLI1103A,1702UWBLI1103A,Keep
1301UWB0185F,H-212-14A-PN185F,Unnamed Water,1301UWB,,,,N185F,5,H-N185F,1301UWBN185F,1301UWBN185F,Keep
1301UWB0193B,H-PN193B,Unnamed Water,1301UWB,,,,N193B,5,H-N193B,1301UWBN193B,1301UWBN193B,Keep
1301UWB0363A,H-PN363A,Unnamed Water,1301UWB,,,,N363A,5,H-N363A,1301UWBN363A,1301UWBN363A,Keep
1301UWB0416B,H-236-14-3-PN416B,Unnamed Water,1301UWB,,,,N416B,5,H-N416B,1301UWBN416B,1301UWBN416B,Keep
1301UWB0435A,H-236-22-2B-PN435A,Unnamed Water,1301UWB,,,,N435A,5,H-N435A,1301UWBN435A,1301UWBN435A,Keep
1301UWB0345B,H-98-P345BBB,Unnamed Water,1301UWB,N345B,NA,LAKE,345BBB,6,,1301UWB345BBB,1301UWB345BBB,Keep
1301UWB0145,H-43-1-P145,Unnamed Water,1301UWB,145,NA,LAKE,145,3,,,1301UWB0145,No change needed 
1301UWB0147,H-43-1-8-P147,Unnamed Water,1301UWB,147,NA,LAKE,147,3,,,1301UWB0147,No change needed 
1301UWB0148,H-43-1-10-P148,Unnamed Water,1301UWB,148,NA,LAKE,148,3,,,1301UWB0148,No change needed 
1301UWB0168,H-55-2-P168,Unnamed Water,1301UWB,168,NA,LAKE,168,3,,,1301UWB0168,No change needed 
1301UWB0170,H-P170,Unnamed Water,1301UWB,170,NA,LAKE,170,3,,,1301UWB0170,No change needed 
1301UWB0173,H-55-8-2-P173,Unnamed Water,1301UWB,173,NA,LAKE,173,3,,,1301UWB0173,No change needed 
1301UWB0221,H-88-P221,Unnamed Water,1301UWB,221,NA,LAKE,221,3,,,1301UWB0221,No change needed 
1301UWB0412,H-103-1-P412,Unnamed Water,1301UWB,412,NA,LAKE,412,3,,,1301UWB0412,No change needed 
1301UWB0414,H-103-P414,Unnamed Water,1301UWB,N414,NA,LAKE,414,3,,,1301UWB0414,No change needed 
1301UWB0422,H-124-P422,Unnamed Water,1301UWB,422,NA,LAKE,422,3,,,1301UWB0422,No change needed 
1301UWB0423,H-124-P423,Unnamed Water,1301UWB,423,NA,LAKE,423,3,,,1301UWB0423,No change needed 
1301UWB0174,H-55-8-P174,Unnamed Water,1301UWB,,,,174,3,H-174,1301UWB174,1301UWB0174,No change needed 
1301UWB0363,H-97-P363,Unnamed Water,1301UWB,,,,363,3,H-363,1301UWB363,1301UWB0363,No change needed 
0404UWB5318,ONT-117-66-25-6-P5318,Mosco Mosko Beachville Dam,0404UWB,5318,Private Pond Arkport,LAKE,5318,4,ON5318,,0404UWB5318,No change needed 
1702UWB5331,LI-P5331,Bowne Pond,1702UWB,5331,Unnamed Water,LAKE,5331,4,LI5331,,1702UWB5331,No change needed 
1311ALT0276B,H-221-4-PN270-1-8-PN276B,Altamont Reservoir,1311ALT,,,,N276B,5,H-N276B,1311ALTN276B,1311ALT0276B,No change needed 
1301UWB0414,H-PN414,,,,,,,,,,1301UWBN414,change
