FIN,P,LakeID
H-240-144-13-P717-2-P727-1-P728,728,1201FIS0728
BB-177-P857,857,1701EBA0857
C-15-P110-6-P114-9-1-H100,100,1003ADI0100
D-70-20-47-H219,219,1403SHA0219
H-240-242B-H108,108,1201ROM0108
H-240-89-13-1-H200,200,1201AVE0200
H-318-1-9-H224,224,1101FOR0224
ONT-117-25-4-H102,102,0402CAL0102
ONT-125-1-4-H262,262,0301SUN0262
ONT-19-88A-H208,208,0801DEN0208
ONT-66-11-P26-37-6-2-5AA-H228,228,0703SPR0228
ONT-66-12-28-H204,204,0701CAR0204
SR-123-1-P5332,5332,0601TRA5332
OBH-P5383,5383,1702UNN5383
H-240-180-59-2-13-P5459,5459,1203DUC5459
ONT-66-9-5-P5606,5606,1701UWB5606
ONT-19-P5705,5705,0801FOR5705
FB3-112-6-P5782,5782,1701UWB5782
H-240-13-P6901,6901,1201DEL6901
SR-P58889,58889,0603HUC58889
