FIN,WATER,LAKE_ID,Lat,Long
ONT-19-88A-H208,Denley Trout Farm,0801DEN0208,43.54448,-75.33173
D-70-20-47-H219,Shaver's Beaverkill Hatchery,1403SHA0219,42.02687,-74.70734
SLC-29-18-P5114,Unnamed Water,0902UWBSL5114,44.64265,-74.20792
C-P5114,Unnamed Water,0902UWBC-5114,44.46212,-74.17932
H-318-1-9-H224,Fortsville Hatchery,1101FOR0224,43.23092,-73.66793
ONT-117-25-4-H102,Caledonia State Hatchery,0402CAL0102,42.98503,-77.86028
H-55-8-P174,Unnamed Water,1301UWB0174,41.36628,-73.8617
C-15-P110-6-P114-9-1-H100,Adirondack Fish Hatchery,1003ADI0100,44.35457,-74.28449
H-46-3-P157B,Unnamed Water,1301UWB157B,41.24688,-73.91972
H-PN185D,Unnamed Water,1301UWBN185D,42.50172,-73.96107
H-209-1A-PN157B,Unnamed Water,1301UWBN157B,42.39326,-73.77732
H-103-1-P410A,Unnamed Water,1301UWB410A,41.59063,-73.97762
H-PN148,Unnamed Water,1301UWBN148,42.41093,-73.87254
H-236-PN445B,Unnamed Water,1301UWBN445B,42.70513,-73.42716
H-236-27-1-PN442B,Unnamed Water,1301UWBN442B,42.70213,-73.48819
H-212-6-1-PN179A,Unnamed Water,1301UWBN179A,42.44474,-73.89001
H-PN423,Unnamed Water,1301UWBN423,42.75945,-73.50259
H-PN145A,Unnamed Water,1301UWBN145A,42.38899,-73.84895
H-240-89-13-1-H200,Avery's Hatchery,1201AVE0200,43.06269,-74.3856
H-214-10-3-2-1-PN206C,Unnamed Water,1301UWBN206C,42.5896,-73.9154
HH-P5368,Unnamed Water,1702UWBHH5368,40.82745,-73.58618
H-240-144-13-P717-2-P727-1-P728,Fish Hatchery Pond,1201FIS0728,43.18157,-74.50254
ONT-66-11-P26-37-6-2-5AA-H228,Spring Ponds Hatchery,0703SPR0228,43.02169,-76.01308
PA-1-P8-5-4-P5037,Unnamed Water,0603UWBPA5037,42.41462,-76.70859
PA-1-52-16A-P5031,Unnamed Water,0603UWBPA5031,42.37271,-76.65732
PA-P5318,Unnamed Water,0404UWBPA5318,42.40667,-77.85011
CT-6-P5335,Unnamed Water,1702UWBCT5335,41.19212,-73.5622
PA-P5553,Unnamed Water,0202UWB5553,42.17223,-79.32713
CT-8-P5343,Unnamed Water,1702UWBCT5343,41.20528,-73.54465
CT-6-1-P5330,Unnamed Water,1702UWBCT5330,41.18578,-73.56548
LI-P5339,Unnamed Water,1702UWBLI5339,40.70168,-73.86649
CT-6-1-P5334,Unnamed Water,1702UWBCT5334,41.18576,-73.57561
ONT-66-12-28-H204,Carpenters Brook Hatchery,0701CAR0204,43.01761,-76.39014
CT-10-1-P5369,Unnamed Water,1702UWBCT5369,41.22784,-73.51808
CT-9-P1110-2-P5365,Unnamed Water,1702UWBCT5365,41.21246,-73.52663
SLC-32-6-10-2B-P5082,Unnamed Water,0902UWBSLCB5082,44.70926,-74.48737
RB-P5103,Unnamed Water,1701UWBRB5103,40.90167,-72.63107
FB1-116-P5104,Unnamed Water,1701UWBFB5104,40.89818,-72.58044
RB-P5104,Unnamed Water,1701UWBRB5104,40.89892,-72.63361
ER-P5004,Unnamed Water,1702UWBER5004,40.99508,-73.82782
E-P5578,Unnamed Water,0104UWB5578,42.56519,-79.12094
SLC-29-21-7-2-P5082,Unnamed Water,0902UWBSLC5082,44.61401,-74.10696
H-77-P206C,Unnamed Water,1301UWB206C,41.42851,-73.91682
H-103-1-P412,Unnamed Water,1301UWB0412,41.58953,-74.02531
H-55-8-2-P173,Unnamed Water,1301UWB0173,41.35666,-73.86314
H-55-13-P182A,Unnamed Water,1301UWB182A,41.36291,-73.84718
H-55-12-P179A,Unnamed Water,1301UWB179A,41.33141,-73.84052
H-43-1-P145,Unnamed Water,1301UWB0145,41.20784,-73.99298
H-204-3-25-PN130,Acker Pond,1310ACK0130,42.28078,-73.59911
ONT-108-P113-3-32-P5368,Unnamed Water,0302UWBON5368,43.01378,-77.53811
H-136-6-3-3-P442B,Unnamed Water,1301UWB442B,41.95569,-73.92332
H-P193B,Unnamed Water,1301UWB193B,41.33742,-73.99435
H-43-1-10-P148,Unnamed Water,1301UWB0148,41.20387,-74.0333
H-P416B,Unnamed Water,1301UWB416B,41.62143,-73.95813
H-212-1-1B-PN168,Unnamed Water,1301UWBN168,42.43692,-73.84808
H-PN221,Unnamed Water,1301UWBN221,42.55508,-73.77317
H-128-P435A,Unnamed Water,1301UWB435A,41.80574,-73.97287
H-75-P205B,Unnamed Water,1301UWB205B,41.39743,-73.89333
H-88-P221,Unnamed Water,1301UWB0221,41.44332,-74.01881
H-44-1B-P155A,Unnamed Water,1301UWB155A,41.2299,-73.92535
H-PN170,Unnamed Water,1301UWBN170,42.47202,-73.82939
H-PN173,Unnamed Water,1301UWBN173,42.47109,-73.82003
H-PN193B,Unnamed Water,1301UWBN193B,42.48751,-73.81937
H-236-7-7A-PN414A,Unnamed Water,1301UWBN414A,42.77742,-73.60228
H-97-P363,Unnamed Water,1301UWB0363,41.554,-74.02261
H-103-P414,Unnamed Water,1301UWB0414,41.66324,-74.01479
H-208-6-PN155-1A-PN155A,Unnamed Water,1301UWBN155A,42.35995,-73.86284
H-P414A,Unnamed Water,1301UWB414A,41.6475,-74.01857
H-PN422,Unnamed Water,1301UWBN422,42.76622,-73.50154
H-PN414,Unnamed Water,1301UWBN414,42.76152,-73.61478
H-236-22-2B-PN435A,Unnamed Water,1301UWBN435A,42.70109,-73.51841
H-61-6-1-P185F,Unnamed Water,1301UWB185F,41.36246,-74.01362
H-61-6-1-P185C,Unnamed Water,1301UWB185C,41.3596,-74.01683
H-61-6-P185A,Unnamed Water,1301UWB185A,41.35722,-74.03034
H-61-6-1-P185D,Unnamed Water,1301UWB185D,41.35453,-74.02241
H-212-15-1-PN185C,Unnamed Water,1301UWBN185C,42.52021,-73.95914
H-PN205B,Unnamed Water,1301UWBN205B,42.52558,-73.92645
H-55-2-P168,Unnamed Water,1301UWB0168,41.3923,-73.86693
H-212-14A-PN185F,Unnamed Water,1301UWBN185F,42.49882,-73.93834
H-234-1-PN363,Unnamed Water,1301UWBN363,42.71941,-73.75719
H-97-P363A,Unnamed Water,1301UWB363A,41.53873,-74.02043
H-98-P345BBB,Unnamed Water,1301UWB345BBB,41.53648,-73.95878
H-212-16-1A-PN185A,Unnamed Water,1301UWBN185A,42.46469,-73.96375
H-PN412,Unnamed Water,1301UWBN412,42.7461,-73.60767
H-PN410A,Unnamed Water,1301UWBN410A,42.74366,-73.62058
H-P170,Unnamed Water,1301UWB0170,41.30334,-73.88573
H-236-14-3-PN416B,Unnamed Water,1301UWBN416B,42.71415,-73.55389
H-PN363A,Unnamed Water,1301UWBN363A,42.71572,-73.76709
H-43-1-8-P147,Unnamed Water,1301UWB0147,41.22025,-74.02431
H-124-P423,Unnamed Water,1301UWB0423,41.79679,-73.93775
H-124-P422,Unnamed Water,1301UWB0422,41.79397,-73.93987
H-43-1-P145A,Unnamed Water,1301UWB145A,41.20671,-74.0007
H-P445B,Unnamed Water,1301UWB445B,41.92775,-73.85902
H-236-27-PN442A,Unnamed Water,1301UWBN442A,42.70536,-73.47815
LIS-P5004,Unnamed Water,1702UWBLI5004,40.91762,-73.11734
H-208-3-PN147,Unnamed Water,1301UWBN147,42.40869,-73.86771
H-212-7-1A-1A-PN182A,Unnamed Water,1301UWBN182A,42.45645,-73.9035
H-212-3-1-1-PN174,Unnamed Water,1301UWBN174,42.45348,-73.85871
