"SAMPLE_ID","STATUS","STATUS_DATE","REMARK"
64500,"SUSPICIOUS","10/21/2019",
64501,"NO_BLOOM",,
64502,"NO_BLOOM",,
64503,"NO_BLOOM",,
64504,"NO_BLOOM",,
64505,"SUSPICIOUS","10/22/2019",
64506,,,
64507,,,
64508,"NO_BLOOM","11/12/2019",
64509,"CONFIRMED","07/17/2019",
64510,"CONFIRMED","07/24/2019",
64511,"CONFIRMED","08/01/2019",
64512,"CONFIRMED","08/15/2019",
64513,"CONFIRMED","09/12/2019",
64515,"CONFIRMED","09/19/2019",
64517,"NO_BLOOM","10/02/2019",
64514,"CONFIRMED_WITH_HIGH_TOXINS","09/12/2019",
64516,"CONFIRMED_WITH_HIGH_TOXINS","09/19/2019",
64518,"NO_BLOOM","11/12/2019",
64519,"NO_BLOOM","11/12/2019",
64520,"NO_BLOOM","07/10/2019",
64521,"NO_BLOOM","11/12/2019",
64522,"NO_BLOOM","08/07/2019",
64523,"NO_BLOOM","08/21/2019",
64524,"NO_BLOOM","09/05/2019",
64525,"NO_BLOOM","09/18/2019",
64526,"SUSPICIOUS","06/20/2019",
64529,"SUSPICIOUS","09/30/2019",
64530,"SUSPICIOUS","10/07/2019",
64531,"SUSPICIOUS","10/15/2019",
64527,"SUSPICIOUS","08/26/2019",
64528,"SUSPICIOUS","09/03/2019",
64532,"NO_BLOOM","11/12/2019",
64533,"NO_BLOOM","06/28/2019",
64534,"NO_BLOOM","11/12/2019",
64535,"NO_BLOOM","07/26/2019",
64536,"NO_BLOOM","08/12/2019",
64537,"NO_BLOOM","08/23/2019",
64538,"CONFIRMED","09/06/2019",
64539,"CONFIRMED","09/20/2019",
64540,"SUSPICIOUS","07/08/2019",
64541,"SUSPICIOUS","09/12/2019",
64542,"SUSPICIOUS","07/26/2019",
64543,"SUSPICIOUS","08/05/2019",
64544,,,
64545,"CONFIRMED","10/09/2019",
64546,"CONFIRMED","10/17/2019",
64547,"CONFIRMED","08/06/2019",
64548,"NO_BLOOM","11/12/2019",
64549,"CONFIRMED","09/05/2019",
64550,"CONFIRMED_WITH_HIGH_TOXINS","10/08/2019",
64551,"CONFIRMED","09/05/2019",
64552,"NO_BLOOM","09/05/2019",
64553,"NO_BLOOM","10/09/2019",
64554,"NO_BLOOM","10/17/2019",
64555,"NO_BLOOM","10/23/2019",
64556,"NO_BLOOM","11/12/2019",
64557,"CONFIRMED","08/06/2019",
64558,"NO_BLOOM","08/12/2019",
64559,"NO_BLOOM","08/15/2019",
64560,"NO_BLOOM","08/22/2019",
64561,"CONFIRMED","08/22/2019",
64562,"CONFIRMED","09/05/2019",
64563,"CONFIRMED","09/05/2019",
64564,"NO_BLOOM","11/12/2019",
64565,"CONFIRMED","10/09/2019",
64566,"CONFIRMED","10/17/2019",
64567,"CONFIRMED","10/23/2019",
64568,"NO_BLOOM","11/12/2019",
64569,"CONFIRMED","08/06/2019",
64570,"NO_BLOOM","08/12/2019",
64571,"SUSPICIOUS","10/08/2019",
64572,"NO_BLOOM","11/12/2019",
64573,"NO_BLOOM","11/12/2019",
64574,"NO_BLOOM","11/12/2019",
64575,"NO_BLOOM","07/10/2019",
64576,"NO_BLOOM","07/10/2019",
64577,"CONFIRMED","08/07/2019",
64577,"NO_BLOOM","08/07/2019",
64579,"CONFIRMED","08/21/2019",
64579,"NO_BLOOM","08/21/2019",
64581,"CONFIRMED","09/05/2019",
64581,"NO_BLOOM","09/05/2019",
64583,"NO_BLOOM","10/02/2019",
64578,"SUSPICIOUS","08/16/2019",
64580,"SUSPICIOUS","08/30/2019",
64582,"SUSPICIOUS","09/20/2019",
64584,"SUSPICIOUS","10/10/2019",
64585,"SUSPICIOUS","10/29/2019",
64586,"CONFIRMED","08/22/2019",
64587,"CONFIRMED","09/05/2019",
64588,"CONFIRMED","09/05/2019",
64589,"CONFIRMED","09/05/2019",
64590,"NO_BLOOM","10/09/2019",
64591,"CONFIRMED","10/17/2019",
64592,"NO_BLOOM","10/23/2019",
64593,"CONFIRMED","07/25/2019",
64594,"CONFIRMED","08/06/2019",
64595,"CONFIRMED","08/12/2019",
64596,"NO_BLOOM","11/12/2019",
64597,,,
64598,,,
64599,"CONFIRMED","08/22/2019",
64600,"NO_BLOOM","11/12/2019",
64603,"NO_BLOOM",,
64604,"SUSPICIOUS","08/15/2019",
64601,"CONFIRMED_WITH_HIGH_TOXINS","07/29/2019",
64602,"CONFIRMED_WITH_HIGH_TOXINS","08/15/2019",
64605,"CONFIRMED","08/22/2019",
64606,"CONFIRMED","09/05/2019",
64607,"CONFIRMED","09/05/2019",
64608,"CONFIRMED","10/09/2019",
64609,"CONFIRMED","10/17/2019",
64610,"NO_BLOOM","10/23/2019",
64611,"CONFIRMED","07/25/2019",
64612,"CONFIRMED","08/06/2019",
64613,"CONFIRMED","08/12/2019",
64614,"NO_BLOOM","11/12/2019",
64615,"CONFIRMED","08/15/2019",
64616,"CONFIRMED","09/05/2019",
64617,"NO_BLOOM","09/05/2019",
64618,"CONFIRMED","10/09/2019",
64619,"NO_BLOOM","07/25/2019",
64620,"NO_BLOOM","08/06/2019",
64621,"NO_BLOOM","08/12/2019",
64622,"NO_BLOOM","08/15/2019",
64623,"NO_BLOOM","08/22/2019",
64624,"NO_BLOOM","08/12/2019",
64625,"NO_BLOOM","08/15/2019",
64626,"NO_BLOOM","11/12/2019",
64627,"CONFIRMED","08/22/2019",
64628,"CONFIRMED","09/05/2019",
64629,"CONFIRMED","09/05/2019",
64630,"NO_BLOOM","10/09/2019",
64631,"NO_BLOOM","10/17/2019",
64632,"NO_BLOOM","11/12/2019",
64633,"NO_BLOOM","10/23/2019",
64634,"CONFIRMED","07/25/2019",
64635,"CONFIRMED","08/06/2019",
64636,"CONFIRMED","08/12/2019",
64637,"CONFIRMED","08/15/2019",
