"LOCATION_ID","SAMPLE_NAME","DATA_PROVIDER","INFO_TYPE","SAMPLE_DATE","TIME","REMARK","EXTENT","BLOOM_DESC","EQUIPMENT_DESC","EQUIPMENT_TYPE","LAKE_PROJ_CODE","SAMPLE_METHOD","PERCENT","SAMPLE_ID","START_DEPTH","END_DEPTH","BLOOM_LOC","ESF.","UFI.","DEPTH_UNIT","WIND_DIR","WIND_INT"
"0101HYDXXX1_C",,"PUB","RT","2019-10-21","00:00:00",,"WIDESPREAD/LAKEWIDE",,,,,"SOP212","NOT REPORTED",64500,0,0,,,,"m",,
"0102ELLXXX1_C",,"PUB","RT","2019-07-10","00:00:00",,"LARGE LOCALIZED","A SAMPLE WAS COLLECTED AND OBSERVED UNDER THE MICROSCOPE - APPEARS TO BE EUGLENA",,,,"SOP212","NOT REPORTED",64501,0,0,,,,"m",,
"0102ELLXXX1_C",,"PUB","RT","2019-07-26","00:00:00",,"WIDESPREAD/LAKEWIDE","SEVERAL AREAS OF THE CREEK FROM NIAGARA FALLS BLVD TO YOUNG STREET CONTAIN AREAS OF DENSE ALGAE LIKE THAT PICTURED. THERE IS A PUBLIC LAUNCH AT NIAGARA FALLS BLVD AND A PRIVATE LAUNCH SITE USED BY A STORE ON ELLIOTT CREEK ROAD THAT RENTS PADDLE CRAFT.",,,,"SOP212","NOT REPORTED",64502,0,0,,,,"m",,
"0102TONXXX1_C",,"PUB","RT","2019-07-09","00:00:00","EUGLENA","WIDESPREAD/LAKEWIDE","THIS IS AREA SURROUNDS ELLICOTT ISLAND BARK PARK & THE PUBLIC IS EXPRESSING CONCERN OF THE TOXICITY OF THE ALGAE BECAUSE SOME DOGS SWIM & DRINK THE WATER IN THIS AREA.",,,,"SOP212","NOT REPORTED",64503,0,0,,,,"m",,
"0102TONXXX1_C",,"PUB","RT","2019-07-11","00:00:00",,"LARGE LOCALIZED","SIMILAR IN LOOK TO THE BLOOM ON ELLICOTT CREEK (REPORT ALSO SUBMITTED)",,,,"SOP212","NOT REPORTED",64504,0,0,,,,"m",,
"0103UWB5345_C",,"PUB","RT","2019-10-21","00:00:00",,"SMALL LOCALIZED",,,,,"SOP212","NOT REPORTED",64505,0,0,,,,"m",,
"0104JAV0152_C","19-147-B2","CSL","SB","2019-09-08","00:00:00",,"SMALL LOCALIZED",,"WATER BOTTLE","GRAB",,"SOP212","NOT REPORTED",64506,0,0,,,,"m",,
"0104JAV0152_C","19-147-B3","CSL","SB","2019-09-15","00:00:00",,"SMALL LOCALIZED",,"WATER BOTTLE","GRAB",,"SOP212","NOT REPORTED",64507,0,0,,,,"m",,
"0104JAV0152_C",,"CSL","OW","2019-06-17","00:00:00",,,,,,,,,64508,0,0,,,,"m",,
"0104JAV0152_C",,"CSL","OW","2019-07-14","00:00:00",,,,,,,,,64509,0,0,,,,"m",,
"0104JAV0152_C",,"CSL","OW","2019-07-21","00:00:00",,,,,,,,,64510,0,0,,,,"m",,
"0104JAV0152_C",,"CSL","OW","2019-07-28","00:00:00",,,,,,,,,64511,0,0,,,,"m",,
"0104JAV0152_C",,"CSL","OW","2019-08-11","00:00:00",,,,,,,,,64512,0,0,,,,"m",,
"0104JAV0152_C",,"CSL","OW","2019-09-08","00:00:00",,,,,,,,,64513,0,0,,,,"m",,
